Country Name,Country Code,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
Gabon,GAB,8352.81710056754,10094.0274577256,7603.66022253845,8754.14223448139,10716.2244321162,9774.19302555079,9679.72356160692,9692.13673895679,7448.74935464556,7078.68326044761,7220.68723532493,
United Kingdom,GBR,50134.3160971463,46767.5922156593,38262.1821338364,38893.0184937365,41412.3492395708,41790.7791407408,42724.0678844007,46783.4692171284,44305.5546320834,40412.0336199885,39720.4434267836,
Georgia,GEO,2492.12877994527,3174.94900068643,2706.58851158173,2964.47703373088,3725.06322121592,4142.8691753655,4274.37685702961,4429.65007451491,3764.64091159037,3865.78569412489,4078.25487917912,
Ghana,GHA,1090.68671771468,1224.40155350237,1086.76503836319,1312.60755731025,1574.97865331211,1629.80022222505,1814.492297022,1449.66281612847,1353.68426033735,1517.49550753102,1641.48662461369,
Gibraltar,GIB,,,,,,,,,,,,
Guinea,GIN,578.034963730061,679.038416549273,615.08421599797,647.803202894337,590.033855754206,665.230652982924,716.244195077918,742.455716567797,732.561347319453,748.301305931726,825.344929766329,
"Gambia, The",GMB,519.054805783257,607.955496009595,549.31782552081,562.483781687741,514.378161891896,504.973936730824,483.480904594251,434.470160809477,458.970591237736,472.306438160201,483.022458620079,
Guinea-Bissau,GNB,481.335009991043,583.894418973508,544.861280100724,546.721668646992,688.771819686925,604.268355195888,621.940673580097,610.46849026212,591.806149672952,648.898936629656,723.658621625927,
Equatorial Guinea,GNQ,15761.8391282779,22742.3815908012,16530.2093729134,17136.4456757583,21451.8861709069,21557.6527999109,20246.9930826625,19245.651511712,11213.4746309009,9217.88952758682,9850.01358478141,
Greece,GRC,28827.3263555224,31997.2820108813,29710.9702950284,26917.7589787254,25916.2935289351,22242.681934771,21874.8195041667,21760.9797994918,18070.7767788584,17881.5266973956,18613.4238733817,
Grenada,GRD,7324.19045616775,7947.44432684392,7395.08812525035,7365.6666592364,7410.408438417,7583.18700190696,7956.07654789594,8569.77699775744,9333.2702313727,9841.76405036101,10376.2270290508,
Greenland,GRL,39780.9514445753,44367.0556497873,44918.5648770756,43988.3324931946,47186.9814680048,45936.7659516989,47262.2827635479,50408.3345548258,44912.2660945027,48159.5347057227,,
Guatemala,GTM,2489.95583636783,2794.22180922233,2635.75347441261,2825.52406953376,3187.84529589412,3299.60513936372,3452.82893369505,3687.76376676599,3923.57334364713,4140.73763497611,4470.98957191189,
Guam,GUM,27540.8391300242,29056.4969975163,30025.5603494294,30700.4340081784,30862.1099963677,32499.234245779,33278.2540919719,34361.0802214118,35210.7888279758,35562.5675277478,,
Guyana,GUY,2327.05832416815,2576.1249570967,2764.30629479659,3044.94912901667,3438.82541126461,3799.75629224491,3944.17817327896,4030.80232062103,4119.67648694763,4531.24352689057,4725.31906329949,
High income,HIC,37283.1614685753,39326.2628350931,36581.591561604,38137.942897612,41018.3913596646,40812.5763999559,41008.7958448154,41597.3343574659,39136.5232856421,39675.0373572505,41211.1169464344,
"Hong Kong SAR, China",HKG,30594.0178410231,31515.6627713018,30697.340383517,32549.998231121,35142.4879344543,36730.8767001128,38403.7777145477,40315.2855640552,42431.8882817277,43737.0419709205,46193.6145204282,
Honduras,HND,1592.57218167076,1751.59585650768,1815.48949644078,1932.85828999689,2120.5894686048,2178.38855524013,2136.77171792075,2242.70745940423,2341.27532008595,2375.09632686503,2480.12592858547,
Heavily indebted poor countries (HIPC),HPC,601.126022609366,706.699314692847,691.359829655643,744.27555427422,808.591723814847,846.798413761809,894.217986979655,922.950534328295,883.408007194553,875.870725443172,952.505998683796,
Croatia,HRV,13546.7138658819,15893.8604799951,14157.1548429321,13542.9018302826,14571.4908822122,13254.7642644276,13648.9898623961,13597.0338744006,11757.8900417938,12298.5703473839,13294.5149256785,
Haiti,HTI,615.820230827879,674.756414674589,668.297604584601,662.279518162433,740.935845216079,766.843762318888,810.265607301884,830.113881624145,814.546395216916,734.802591238931,765.683924629642,
Hungary,HUN,13907.5033848474,15739.7354115842,13029.883375372,13092.2337567695,14118.1226290277,12888.3045908829,13667.7027865496,14201.4488320148,12483.8659406349,12820.0881963053,14224.8464577027,
IBRD only,IBD,3283.28516473503,3903.43488450459,3750.59788438886,4509.49604772343,5280.06538379405,5556.03347291932,5815.79892862622,5947.44362994892,5562.58976975937,5538.2366509047,6039.83195640059,
IDA & IBRD total,IBT,2700.49850154155,3201.46250261778,3069.3054892106,3692.35283303673,4299.29792588732,4514.54066772641,4719.51204555286,4825.91746662079,4506.8525146343,4464.06088221497,4838.78578179343,
IDA total,IDA,745.271352294111,876.923331811454,842.744598369338,1059.91565183335,1178.38751820841,1243.32499035099,1321.53300821247,1396.62326166433,1320.94812570881,1263.26204552335,1304.15815895808,
IDA blend,IDB,1029.9375475847,1201.44321356308,1090.80242041398,1568.25838536343,1757.36278473235,1888.93191949317,2002.50763191098,2120.07736530663,1935.32404517996,1773.0392980018,1717.26462716662,
